date,title,artist,peak_pos,rank,weeks
1958-01-01,Poor Little Fool,Ricky Nelson,1.0,1.0,1.0
1958-01-01,Patricia,Perez Prado And His Orchestra,2.0,2.0,1.0
1958-01-01,Splish Splash,Bobby Darin,3.0,3.0,1.0
1958-01-01,Hard Headed Woman,Elvis Presley With The Jordanaires,4.0,4.0,1.0
1958-01-01,When,Kalin Twins,5.0,5.0,1.0
1958-01-01,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,6.0,6.0,1.0
1958-01-01,Yakety Yak,The Coasters,7.0,7.0,1.0
1958-01-01,My True Love,Jack Scott,8.0,8.0,1.0
1958-01-01,Willie And The Hand Jive,The Johnny Otis Show,9.0,9.0,1.0
1958-01-01,Fever,Peggy Lee,10.0,10.0,1.0
1958-01-01,Ginger Bread,Frankie Avalon,11.0,11.0,1.0
1958-01-01,Just A Dream,Jimmy Clanton And His Rockets,12.0,12.0,1.0
1958-01-01,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,13.0,13.0,1.0
1958-01-01,If Dreams Came True,Pat Boone,14.0,14.0,1.0
1958-01-01,For Your Precious Love,Jerry Butler and The Impressions,15.0,15.0,1.0
1958-01-01,One Summer Night,The Danleers,16.0,16.0,1.0
1958-01-01,Endless Sleep,Jody Reynolds,17.0,17.0,1.0
1958-01-01,Little Star,The Elegants,18.0,18.0,1.0
1958-01-01,Everybody Loves A Lover,Doris Day,19.0,19.0,1.0
1958-01-01,Do You Want To Dance,Bobby Freeman,20.0,20.0,1.0
1958-01-01,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,21.0,21.0,1.0
1958-01-01,A Certain Smile,Johnny Mathis,22.0,22.0,1.0
1958-01-01,Western Movies,The Olympics,23.0,23.0,1.0
1958-01-01,The Purple People Eater,Sheb Wooley,24.0,24.0,1.0
1958-01-01,What Am I Living For,Chuck Willis,25.0,25.0,1.0
1958-01-01,Born Too Late,Poni-Tails,26.0,26.0,1.0
1958-01-01,Think It Over,The Crickets,27.0,27.0,1.0
1958-01-01,Secretly,Jimmie Rodgers,28.0,28.0,1.0
1958-01-01,Enchanted Island,The Four Lads,29.0,29.0,1.0
1958-01-01,Angel Baby,Dean Martin,30.0,30.0,1.0
1958-01-01,Chantilly Lace,Big Bopper,31.0,31.0,1.0
1958-01-01,Blue Blue Day,Don Gibson,32.0,32.0,1.0
1958-01-01,The Freeze,Tony And Joe,33.0,33.0,1.0
1958-01-01,Don't Ask Me Why,Elvis Presley With The Jordanaires,34.0,34.0,1.0
1958-01-01,Rock-in Robin,Bobby Day,35.0,35.0,1.0
1958-01-01,"No Chemise, Please",Gerry Granahan,36.0,36.0,1.0
1958-01-01,Moon Talk,Perry Como,37.0,37.0,1.0
1958-01-01,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,38.0,38.0,1.0
1958-01-01,That's How Much I Love You,Pat Boone,39.0,39.0,1.0
1958-01-01,Crazy Eyes For You,Bobby Hamilton,40.0,40.0,1.0
1958-01-01,Early In The Morning,Buddy Holly,41.0,41.0,1.0
1958-01-01,You Cheated,The Slades,42.0,42.0,1.0
1958-01-01,Come What May,Clyde McPhatter,43.0,43.0,1.0
1958-01-01,Jennie Lee,Jan & Arnie,44.0,44.0,1.0
1958-01-01,Kathy-O,The Diamonds,45.0,45.0,1.0
1958-01-01,(It's Been A Long Time) Pretty Baby,Gino & Gina,46.0,46.0,1.0
1958-01-01,I Wonder Why,Dion & The Belmonts,47.0,47.0,1.0
1958-01-01,Return To Me,Dean Martin,48.0,48.0,1.0
1958-01-01,All I Have To Do Is Dream,The Everly Brothers,49.0,49.0,1.0
1958-01-01,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,50.0,50.0,1.0
1958-01-01,"Baubles, Bangles And Beads",The Kirby Stone Four,50.0,50.0,1.0
1958-01-01,Early In The Morning,The Rinky-Dinks,52.0,52.0,1.0
1958-01-01,Come Closer To Me (Acercate Mas),Nat King Cole,53.0,53.0,1.0
1958-01-01,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,54.0,54.0,1.0
1958-01-01,Let's Go Steady For The Summer,The Three G's,55.0,55.0,1.0
1958-01-01,Leroy,Jack Scott,56.0,56.0,1.0
1958-01-01,You Need Hands,Eydie Gorme,57.0,57.0,1.0
1958-01-01,Fool's Paradise,The Crickets,58.0,58.0,1.0
1958-01-01,Young And Warm And Wonderful,Tony Bennett,59.0,59.0,1.0
1958-01-01,Over And Over,Bobby Day,60.0,60.0,1.0
1958-01-01,Itchy Twitchy Feeling,Bobby Hendricks,61.0,61.0,1.0
1958-01-01,For Your Love,Ed Townsend,62.0,62.0,1.0
1958-01-01,Padre,Toni Arden,63.0,63.0,1.0
1958-01-01,High School Confidential,Jerry Lee Lewis And His Pumping Piano,63.0,63.0,1.0
1958-01-01,You're Making A Mistake,The Platters,65.0,65.0,1.0
1958-01-01,Delicious!,Jim Backus & Friend,66.0,66.0,1.0
1958-01-01,Big Man,The Four Preps,67.0,67.0,1.0
1958-01-01,Volare (Nel Blu Dipinto Di Blu),Dean Martin,68.0,68.0,1.0
1958-01-01,Op,The Honeycones,69.0,69.0,1.0
1958-01-01,Don't Go Home,The Playmates,70.0,70.0,1.0
1958-01-01,Got A Match?,Frank Gallup,71.0,71.0,1.0
1958-01-01,Stupid Cupid,Connie Francis,72.0,72.0,1.0
1958-01-01,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,73.0,73.0,1.0
1958-01-01,Win Your Love For Me,Sam Cooke,74.0,74.0,1.0
1958-01-01,Gotta Have Rain,Eydie Gorme,74.0,74.0,1.0
1958-01-01,Midnight,Paul Anka,76.0,76.0,1.0
1958-01-01,Happy Years,The Diamonds,77.0,77.0,1.0
1958-01-01,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,78.0,78.0,1.0
1958-01-01,The Bird On My Head,David Seville,79.0,79.0,1.0
1958-01-01,Johnny B. Goode,Chuck Berry,80.0,80.0,1.0
1958-01-01,Beautiful Delilah,Chuck Berry,81.0,81.0,1.0
1958-01-01,Blip Blop,Bill Doggett,82.0,82.0,1.0
1958-01-01,Try The Impossible,Lee Andrews And The Hearts,83.0,83.0,1.0
1958-01-01,Summertime Blues,Eddie Cochran,84.0,84.0,1.0
1958-01-01,Got A Match?,The Daddy-O's,85.0,85.0,1.0
1958-01-01,To Be Loved,Jackie Wilson,86.0,86.0,1.0
1958-01-01,Jealousy,Kitty Wells,87.0,87.0,1.0
1958-01-01,Just Like In The Movies,The Upbeats,88.0,88.0,1.0
1958-01-01,Blue Boy,Jim Reeves,89.0,89.0,1.0
1958-01-01,Stay,The Ames Brothers,90.0,90.0,1.0
1958-01-01,The Purple People Eater Meets The Witch Doctor,Joe South,91.0,91.0,1.0
1958-01-01,Bird Dog,The Everly Brothers,92.0,92.0,1.0
1958-01-01,Are You Really Mine,Jimmie Rodgers,93.0,93.0,1.0
1958-01-01,She Was Only Seventeen (He Was One Year More),Marty Robbins,94.0,94.0,1.0
1958-01-01,Little Mary,Fats Domino,95.0,95.0,1.0
1958-01-01,Over And Over,Thurston Harris,96.0,96.0,1.0
1958-01-01,I Believe In You,Robert & Johnny,97.0,97.0,1.0
1958-01-01,Little Serenade,The Ames Brothers,98.0,98.0,1.0
1958-01-01,I'll Get By (As Long As I Have You),Billy Williams,99.0,99.0,1.0
1958-01-01,Judy,Frankie Vaughan,100.0,100.0,1.0
1958-01-08,Poor Little Fool,Ricky Nelson,1.0,1.0,1.0
1958-01-08,Patricia,Perez Prado And His Orchestra,2.0,2.0,1.0
1958-01-08,Splish Splash,Bobby Darin,3.0,3.0,1.0
1958-01-08,Hard Headed Woman,Elvis Presley With The Jordanaires,4.0,4.0,1.0
1958-01-08,When,Kalin Twins,5.0,5.0,1.0
1958-01-08,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,6.0,6.0,1.0
1958-01-08,Yakety Yak,The Coasters,7.0,7.0,1.0
1958-01-08,My True Love,Jack Scott,8.0,8.0,1.0
1958-01-08,Willie And The Hand Jive,The Johnny Otis Show,9.0,9.0,1.0
1958-01-08,Fever,Peggy Lee,10.0,10.0,1.0
1958-01-08,Ginger Bread,Frankie Avalon,11.0,11.0,1.0
1958-01-08,Just A Dream,Jimmy Clanton And His Rockets,12.0,12.0,1.0
1958-01-08,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,13.0,13.0,1.0
1958-01-08,If Dreams Came True,Pat Boone,14.0,14.0,1.0
1958-01-08,For Your Precious Love,Jerry Butler and The Impressions,15.0,15.0,1.0
1958-01-08,One Summer Night,The Danleers,16.0,16.0,1.0
1958-01-08,Endless Sleep,Jody Reynolds,17.0,17.0,1.0
1958-01-08,Little Star,The Elegants,18.0,18.0,1.0
1958-01-08,Everybody Loves A Lover,Doris Day,19.0,19.0,1.0
1958-01-08,Do You Want To Dance,Bobby Freeman,20.0,20.0,1.0
1958-01-08,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,21.0,21.0,1.0
1958-01-08,A Certain Smile,Johnny Mathis,22.0,22.0,1.0
1958-01-08,Western Movies,The Olympics,23.0,23.0,1.0
1958-01-08,The Purple People Eater,Sheb Wooley,24.0,24.0,1.0
1958-01-08,What Am I Living For,Chuck Willis,25.0,25.0,1.0
1958-01-08,Born Too Late,Poni-Tails,26.0,26.0,1.0
1958-01-08,Think It Over,The Crickets,27.0,27.0,1.0
1958-01-08,Secretly,Jimmie Rodgers,28.0,28.0,1.0
1958-01-08,Enchanted Island,The Four Lads,29.0,29.0,1.0
1958-01-08,Angel Baby,Dean Martin,30.0,30.0,1.0
1958-01-08,Chantilly Lace,Big Bopper,31.0,31.0,1.0
1958-01-08,Blue Blue Day,Don Gibson,32.0,32.0,1.0
1958-01-08,The Freeze,Tony And Joe,33.0,33.0,1.0
1958-01-08,Don't Ask Me Why,Elvis Presley With The Jordanaires,34.0,34.0,1.0
1958-01-08,Rock-in Robin,Bobby Day,35.0,35.0,1.0
1958-01-08,"No Chemise, Please",Gerry Granahan,36.0,36.0,1.0
1958-01-08,Moon Talk,Perry Como,37.0,37.0,1.0
1958-01-08,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,38.0,38.0,1.0
1958-01-08,That's How Much I Love You,Pat Boone,39.0,39.0,1.0
1958-01-08,Crazy Eyes For You,Bobby Hamilton,40.0,40.0,1.0
1958-01-08,Early In The Morning,Buddy Holly,41.0,41.0,1.0
1958-01-08,You Cheated,The Slades,42.0,42.0,1.0
1958-01-08,Come What May,Clyde McPhatter,43.0,43.0,1.0
1958-01-08,Jennie Lee,Jan & Arnie,44.0,44.0,1.0
1958-01-08,Kathy-O,The Diamonds,45.0,45.0,1.0
1958-01-08,(It's Been A Long Time) Pretty Baby,Gino & Gina,46.0,46.0,1.0
1958-01-08,I Wonder Why,Dion & The Belmonts,47.0,47.0,1.0
1958-01-08,Return To Me,Dean Martin,48.0,48.0,1.0
1958-01-08,All I Have To Do Is Dream,The Everly Brothers,49.0,49.0,1.0
1958-01-08,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,50.0,50.0,1.0
1958-01-08,"Baubles, Bangles And Beads",The Kirby Stone Four,50.0,50.0,1.0
1958-01-08,Early In The Morning,The Rinky-Dinks,52.0,52.0,1.0
1958-01-08,Come Closer To Me (Acercate Mas),Nat King Cole,53.0,53.0,1.0
1958-01-08,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,54.0,54.0,1.0
1958-01-08,Let's Go Steady For The Summer,The Three G's,55.0,55.0,1.0
1958-01-08,Leroy,Jack Scott,56.0,56.0,1.0
1958-01-08,You Need Hands,Eydie Gorme,57.0,57.0,1.0
1958-01-08,Fool's Paradise,The Crickets,58.0,58.0,1.0
1958-01-08,Young And Warm And Wonderful,Tony Bennett,59.0,59.0,1.0
1958-01-08,Over And Over,Bobby Day,60.0,60.0,1.0
1958-01-08,Itchy Twitchy Feeling,Bobby Hendricks,61.0,61.0,1.0
1958-01-08,For Your Love,Ed Townsend,62.0,62.0,1.0
1958-01-08,Padre,Toni Arden,63.0,63.0,1.0
1958-01-08,High School Confidential,Jerry Lee Lewis And His Pumping Piano,63.0,63.0,1.0
1958-01-08,You're Making A Mistake,The Platters,65.0,65.0,1.0
1958-01-08,Delicious!,Jim Backus & Friend,66.0,66.0,1.0
1958-01-08,Big Man,The Four Preps,67.0,67.0,1.0
1958-01-08,Volare (Nel Blu Dipinto Di Blu),Dean Martin,68.0,68.0,1.0
1958-01-08,Op,The Honeycones,69.0,69.0,1.0
1958-01-08,Don't Go Home,The Playmates,70.0,70.0,1.0
1958-01-08,Got A Match?,Frank Gallup,71.0,71.0,1.0
1958-01-08,Stupid Cupid,Connie Francis,72.0,72.0,1.0
1958-01-08,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,73.0,73.0,1.0
1958-01-08,Win Your Love For Me,Sam Cooke,74.0,74.0,1.0
1958-01-08,Gotta Have Rain,Eydie Gorme,74.0,74.0,1.0
1958-01-08,Midnight,Paul Anka,76.0,76.0,1.0
1958-01-08,Happy Years,The Diamonds,77.0,77.0,1.0
1958-01-08,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,78.0,78.0,1.0
1958-01-08,The Bird On My Head,David Seville,79.0,79.0,1.0
1958-01-08,Johnny B. Goode,Chuck Berry,80.0,80.0,1.0
1958-01-08,Beautiful Delilah,Chuck Berry,81.0,81.0,1.0
1958-01-08,Blip Blop,Bill Doggett,82.0,82.0,1.0
1958-01-08,Try The Impossible,Lee Andrews And The Hearts,83.0,83.0,1.0
1958-01-08,Summertime Blues,Eddie Cochran,84.0,84.0,1.0
1958-01-08,Got A Match?,The Daddy-O's,85.0,85.0,1.0
1958-01-08,To Be Loved,Jackie Wilson,86.0,86.0,1.0
1958-01-08,Jealousy,Kitty Wells,87.0,87.0,1.0
1958-01-08,Just Like In The Movies,The Upbeats,88.0,88.0,1.0
1958-01-08,Blue Boy,Jim Reeves,89.0,89.0,1.0
1958-01-08,Stay,The Ames Brothers,90.0,90.0,1.0
1958-01-08,The Purple People Eater Meets The Witch Doctor,Joe South,91.0,91.0,1.0
1958-01-08,Bird Dog,The Everly Brothers,92.0,92.0,1.0
1958-01-08,Are You Really Mine,Jimmie Rodgers,93.0,93.0,1.0
1958-01-08,She Was Only Seventeen (He Was One Year More),Marty Robbins,94.0,94.0,1.0
1958-01-08,Little Mary,Fats Domino,95.0,95.0,1.0
1958-01-08,Over And Over,Thurston Harris,96.0,96.0,1.0
1958-01-08,I Believe In You,Robert & Johnny,97.0,97.0,1.0
1958-01-08,Little Serenade,The Ames Brothers,98.0,98.0,1.0
1958-01-08,I'll Get By (As Long As I Have You),Billy Williams,99.0,99.0,1.0
1958-01-08,Judy,Frankie Vaughan,100.0,100.0,1.0
1958-01-15,Poor Little Fool,Ricky Nelson,1.0,1.0,1.0
1958-01-15,Patricia,Perez Prado And His Orchestra,2.0,2.0,1.0
1958-01-15,Splish Splash,Bobby Darin,3.0,3.0,1.0
1958-01-15,Hard Headed Woman,Elvis Presley With The Jordanaires,4.0,4.0,1.0
1958-01-15,When,Kalin Twins,5.0,5.0,1.0
1958-01-15,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,6.0,6.0,1.0
1958-01-15,Yakety Yak,The Coasters,7.0,7.0,1.0
1958-01-15,My True Love,Jack Scott,8.0,8.0,1.0
1958-01-15,Willie And The Hand Jive,The Johnny Otis Show,9.0,9.0,1.0
1958-01-15,Fever,Peggy Lee,10.0,10.0,1.0
1958-01-15,Ginger Bread,Frankie Avalon,11.0,11.0,1.0
1958-01-15,Just A Dream,Jimmy Clanton And His Rockets,12.0,12.0,1.0
1958-01-15,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,13.0,13.0,1.0
1958-01-15,If Dreams Came True,Pat Boone,14.0,14.0,1.0
1958-01-15,For Your Precious Love,Jerry Butler and The Impressions,15.0,15.0,1.0
1958-01-15,One Summer Night,The Danleers,16.0,16.0,1.0
1958-01-15,Endless Sleep,Jody Reynolds,17.0,17.0,1.0
1958-01-15,Little Star,The Elegants,18.0,18.0,1.0
1958-01-15,Everybody Loves A Lover,Doris Day,19.0,19.0,1.0
1958-01-15,Do You Want To Dance,Bobby Freeman,20.0,20.0,1.0
1958-01-15,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,21.0,21.0,1.0
1958-01-15,A Certain Smile,Johnny Mathis,22.0,22.0,1.0
1958-01-15,Western Movies,The Olympics,23.0,23.0,1.0
1958-01-15,The Purple People Eater,Sheb Wooley,24.0,24.0,1.0
1958-01-15,What Am I Living For,Chuck Willis,25.0,25.0,1.0
1958-01-15,Born Too Late,Poni-Tails,26.0,26.0,1.0
1958-01-15,Think It Over,The Crickets,27.0,27.0,1.0
1958-01-15,Secretly,Jimmie Rodgers,28.0,28.0,1.0
1958-01-15,Enchanted Island,The Four Lads,29.0,29.0,1.0
1958-01-15,Angel Baby,Dean Martin,30.0,30.0,1.0
1958-01-15,Chantilly Lace,Big Bopper,31.0,31.0,1.0
1958-01-15,Blue Blue Day,Don Gibson,32.0,32.0,1.0
1958-01-15,The Freeze,Tony And Joe,33.0,33.0,1.0
1958-01-15,Don't Ask Me Why,Elvis Presley With The Jordanaires,34.0,34.0,1.0
1958-01-15,Rock-in Robin,Bobby Day,35.0,35.0,1.0
1958-01-15,"No Chemise, Please",Gerry Granahan,36.0,36.0,1.0
1958-01-15,Moon Talk,Perry Como,37.0,37.0,1.0
1958-01-15,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,38.0,38.0,1.0
1958-01-15,That's How Much I Love You,Pat Boone,39.0,39.0,1.0
1958-01-15,Crazy Eyes For You,Bobby Hamilton,40.0,40.0,1.0
1958-01-15,Early In The Morning,Buddy Holly,41.0,41.0,1.0
1958-01-15,You Cheated,The Slades,42.0,42.0,1.0
1958-01-15,Come What May,Clyde McPhatter,43.0,43.0,1.0
1958-01-15,Jennie Lee,Jan & Arnie,44.0,44.0,1.0
1958-01-15,Kathy-O,The Diamonds,45.0,45.0,1.0
1958-01-15,(It's Been A Long Time) Pretty Baby,Gino & Gina,46.0,46.0,1.0
1958-01-15,I Wonder Why,Dion & The Belmonts,47.0,47.0,1.0
1958-01-15,Return To Me,Dean Martin,48.0,48.0,1.0
1958-01-15,All I Have To Do Is Dream,The Everly Brothers,49.0,49.0,1.0
1958-01-15,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,50.0,50.0,1.0
1958-01-15,"Baubles, Bangles And Beads",The Kirby Stone Four,50.0,50.0,1.0
1958-01-15,Early In The Morning,The Rinky-Dinks,52.0,52.0,1.0
1958-01-15,Come Closer To Me (Acercate Mas),Nat King Cole,53.0,53.0,1.0
1958-01-15,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,54.0,54.0,1.0
1958-01-15,Let's Go Steady For The Summer,The Three G's,55.0,55.0,1.0
1958-01-15,Leroy,Jack Scott,56.0,56.0,1.0
1958-01-15,You Need Hands,Eydie Gorme,57.0,57.0,1.0
1958-01-15,Fool's Paradise,The Crickets,58.0,58.0,1.0
1958-01-15,Young And Warm And Wonderful,Tony Bennett,59.0,59.0,1.0
1958-01-15,Over And Over,Bobby Day,60.0,60.0,1.0
1958-01-15,Itchy Twitchy Feeling,Bobby Hendricks,61.0,61.0,1.0
1958-01-15,For Your Love,Ed Townsend,62.0,62.0,1.0
1958-01-15,Padre,Toni Arden,63.0,63.0,1.0
1958-01-15,High School Confidential,Jerry Lee Lewis And His Pumping Piano,63.0,63.0,1.0
1958-01-15,You're Making A Mistake,The Platters,65.0,65.0,1.0
1958-01-15,Delicious!,Jim Backus & Friend,66.0,66.0,1.0
1958-01-15,Big Man,The Four Preps,67.0,67.0,1.0
1958-01-15,Volare (Nel Blu Dipinto Di Blu),Dean Martin,68.0,68.0,1.0
1958-01-15,Op,The Honeycones,69.0,69.0,1.0
1958-01-15,Don't Go Home,The Playmates,70.0,70.0,1.0
1958-01-15,Got A Match?,Frank Gallup,71.0,71.0,1.0
1958-01-15,Stupid Cupid,Connie Francis,72.0,72.0,1.0
1958-01-15,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,73.0,73.0,1.0
1958-01-15,Win Your Love For Me,Sam Cooke,74.0,74.0,1.0
1958-01-15,Gotta Have Rain,Eydie Gorme,74.0,74.0,1.0
1958-01-15,Midnight,Paul Anka,76.0,76.0,1.0
1958-01-15,Happy Years,The Diamonds,77.0,77.0,1.0
1958-01-15,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,78.0,78.0,1.0
1958-01-15,The Bird On My Head,David Seville,79.0,79.0,1.0
1958-01-15,Johnny B. Goode,Chuck Berry,80.0,80.0,1.0
1958-01-15,Beautiful Delilah,Chuck Berry,81.0,81.0,1.0
1958-01-15,Blip Blop,Bill Doggett,82.0,82.0,1.0
1958-01-15,Try The Impossible,Lee Andrews And The Hearts,83.0,83.0,1.0
1958-01-15,Summertime Blues,Eddie Cochran,84.0,84.0,1.0
1958-01-15,Got A Match?,The Daddy-O's,85.0,85.0,1.0
1958-01-15,To Be Loved,Jackie Wilson,86.0,86.0,1.0
1958-01-15,Jealousy,Kitty Wells,87.0,87.0,1.0
1958-01-15,Just Like In The Movies,The Upbeats,88.0,88.0,1.0
1958-01-15,Blue Boy,Jim Reeves,89.0,89.0,1.0
1958-01-15,Stay,The Ames Brothers,90.0,90.0,1.0
1958-01-15,The Purple People Eater Meets The Witch Doctor,Joe South,91.0,91.0,1.0
1958-01-15,Bird Dog,The Everly Brothers,92.0,92.0,1.0
1958-01-15,Are You Really Mine,Jimmie Rodgers,93.0,93.0,1.0
1958-01-15,She Was Only Seventeen (He Was One Year More),Marty Robbins,94.0,94.0,1.0
1958-01-15,Little Mary,Fats Domino,95.0,95.0,1.0
1958-01-15,Over And Over,Thurston Harris,96.0,96.0,1.0
1958-01-15,I Believe In You,Robert & Johnny,97.0,97.0,1.0
1958-01-15,Little Serenade,The Ames Brothers,98.0,98.0,1.0
1958-01-15,I'll Get By (As Long As I Have You),Billy Williams,99.0,99.0,1.0
1958-01-15,Judy,Frankie Vaughan,100.0,100.0,1.0
1958-01-22,Poor Little Fool,Ricky Nelson,1.0,1.0,1.0
1958-01-22,Patricia,Perez Prado And His Orchestra,2.0,2.0,1.0
1958-01-22,Splish Splash,Bobby Darin,3.0,3.0,1.0
1958-01-22,Hard Headed Woman,Elvis Presley With The Jordanaires,4.0,4.0,1.0
1958-01-22,When,Kalin Twins,5.0,5.0,1.0
1958-01-22,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,6.0,6.0,1.0
1958-01-22,Yakety Yak,The Coasters,7.0,7.0,1.0
1958-01-22,My True Love,Jack Scott,8.0,8.0,1.0
1958-01-22,Willie And The Hand Jive,The Johnny Otis Show,9.0,9.0,1.0
1958-01-22,Fever,Peggy Lee,10.0,10.0,1.0
1958-01-22,Ginger Bread,Frankie Avalon,11.0,11.0,1.0
1958-01-22,Just A Dream,Jimmy Clanton And His Rockets,12.0,12.0,1.0
1958-01-22,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,13.0,13.0,1.0
1958-01-22,If Dreams Came True,Pat Boone,14.0,14.0,1.0
1958-01-22,For Your Precious Love,Jerry Butler and The Impressions,15.0,15.0,1.0
1958-01-22,One Summer Night,The Danleers,16.0,16.0,1.0
1958-01-22,Endless Sleep,Jody Reynolds,17.0,17.0,1.0
1958-01-22,Little Star,The Elegants,18.0,18.0,1.0
1958-01-22,Everybody Loves A Lover,Doris Day,19.0,19.0,1.0
1958-01-22,Do You Want To Dance,Bobby Freeman,20.0,20.0,1.0
1958-01-22,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,21.0,21.0,1.0
1958-01-22,A Certain Smile,Johnny Mathis,22.0,22.0,1.0
1958-01-22,Western Movies,The Olympics,23.0,23.0,1.0
1958-01-22,The Purple People Eater,Sheb Wooley,24.0,24.0,1.0
1958-01-22,What Am I Living For,Chuck Willis,25.0,25.0,1.0
1958-01-22,Born Too Late,Poni-Tails,26.0,26.0,1.0
1958-01-22,Think It Over,The Crickets,27.0,27.0,1.0
1958-01-22,Secretly,Jimmie Rodgers,28.0,28.0,1.0
1958-01-22,Enchanted Island,The Four Lads,29.0,29.0,1.0
1958-01-22,Angel Baby,Dean Martin,30.0,30.0,1.0
1958-01-22,Chantilly Lace,Big Bopper,31.0,31.0,1.0
1958-01-22,Blue Blue Day,Don Gibson,32.0,32.0,1.0
1958-01-22,The Freeze,Tony And Joe,33.0,33.0,1.0
1958-01-22,Don't Ask Me Why,Elvis Presley With The Jordanaires,34.0,34.0,1.0
1958-01-22,Rock-in Robin,Bobby Day,35.0,35.0,1.0
1958-01-22,"No Chemise, Please",Gerry Granahan,36.0,36.0,1.0
1958-01-22,Moon Talk,Perry Como,37.0,37.0,1.0
1958-01-22,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,38.0,38.0,1.0
1958-01-22,That's How Much I Love You,Pat Boone,39.0,39.0,1.0
1958-01-22,Crazy Eyes For You,Bobby Hamilton,40.0,40.0,1.0
1958-01-22,Early In The Morning,Buddy Holly,41.0,41.0,1.0
1958-01-22,You Cheated,The Slades,42.0,42.0,1.0
1958-01-22,Come What May,Clyde McPhatter,43.0,43.0,1.0
1958-01-22,Jennie Lee,Jan & Arnie,44.0,44.0,1.0
1958-01-22,Kathy-O,The Diamonds,45.0,45.0,1.0
1958-01-22,(It's Been A Long Time) Pretty Baby,Gino & Gina,46.0,46.0,1.0
1958-01-22,I Wonder Why,Dion & The Belmonts,47.0,47.0,1.0
1958-01-22,Return To Me,Dean Martin,48.0,48.0,1.0
1958-01-22,All I Have To Do Is Dream,The Everly Brothers,49.0,49.0,1.0
1958-01-22,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,50.0,50.0,1.0
1958-01-22,"Baubles, Bangles And Beads",The Kirby Stone Four,50.0,50.0,1.0
1958-01-22,Early In The Morning,The Rinky-Dinks,52.0,52.0,1.0
1958-01-22,Come Closer To Me (Acercate Mas),Nat King Cole,53.0,53.0,1.0
1958-01-22,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,54.0,54.0,1.0
1958-01-22,Let's Go Steady For The Summer,The Three G's,55.0,55.0,1.0
1958-01-22,Leroy,Jack Scott,56.0,56.0,1.0
1958-01-22,You Need Hands,Eydie Gorme,57.0,57.0,1.0
1958-01-22,Fool's Paradise,The Crickets,58.0,58.0,1.0
1958-01-22,Young And Warm And Wonderful,Tony Bennett,59.0,59.0,1.0
1958-01-22,Over And Over,Bobby Day,60.0,60.0,1.0
1958-01-22,Itchy Twitchy Feeling,Bobby Hendricks,61.0,61.0,1.0
1958-01-22,For Your Love,Ed Townsend,62.0,62.0,1.0
1958-01-22,Padre,Toni Arden,63.0,63.0,1.0
1958-01-22,High School Confidential,Jerry Lee Lewis And His Pumping Piano,63.0,63.0,1.0
1958-01-22,You're Making A Mistake,The Platters,65.0,65.0,1.0
1958-01-22,Delicious!,Jim Backus & Friend,66.0,66.0,1.0
1958-01-22,Big Man,The Four Preps,67.0,67.0,1.0
1958-01-22,Volare (Nel Blu Dipinto Di Blu),Dean Martin,68.0,68.0,1.0
1958-01-22,Op,The Honeycones,69.0,69.0,1.0
1958-01-22,Don't Go Home,The Playmates,70.0,70.0,1.0
1958-01-22,Got A Match?,Frank Gallup,71.0,71.0,1.0
1958-01-22,Stupid Cupid,Connie Francis,72.0,72.0,1.0
1958-01-22,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,73.0,73.0,1.0
1958-01-22,Win Your Love For Me,Sam Cooke,74.0,74.0,1.0
