title,title_spotify,artist,album,colab,id,release_date,peak_rank,peak_date,peak_year,lustrum,weeks,sp_popularity,tempo,duration,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,before_1964,release_year
Everyone Was There,Everyone but You,Bob Kayli,Natural,N,2Z1wkZW9po0fOwmWn92Z6N,2017-03-31,96.0,1958-11-12,1958,1955-1959,2.0,40.0,92.997,311.36,5.0,0.0,0.613,0.667,-7.475,0.0317,0.748,0.855,0.511,0.448,True,2017
Exclusively Yours,Exclusively Yours,"Carl Dobkins, Jr.",Presenting Carl Dobkins Jr.,N,760EdfOJLYQA8VGCnXatQA,1959-05-20,62.0,1960-05-11,1960,1960-1964,8.0,2.0,102.157,139.04,8.0,1.0,0.751,0.38,-11.838,0.0304,0.592,0.0,0.0942,0.942,True,1959
Exodus,Exodus,Ferrante & Teicher,All-Time Great Movie Themes,Y,4pKUJwmq9mYcs1KNUsqAHH,1993-02-09,2.0,1961-04-05,1961,1960-1964,21.0,23.0,98.226,176.76,2.0,0.0,0.477,0.231,-11.842,0.0259,0.857,0.497,0.0638,0.246,True,1993
Fallen Angel,Fallen Angel,Webb Pierce,"Hundred Year Webb, Vol. 3",N,6JYEto8xNzS3f9WmPhHC5X,2021-07-23,99.0,1960-11-16,1960,1960-1964,1.0,5.0,125.787,127.093,10.0,1.0,0.492,0.329,-11.364,0.0449,0.797,0.0,0.142,0.777,True,2021
Fallin',Fallin',Connie Francis,Gold,N,121oskeJBhi1OvqHqydCSf,2005-06-14,30.0,1958-10-08,1958,1955-1959,10.0,40.0,139.199,133.533,4.0,0.0,0.594,0.678,-7.621,0.0355,0.583,0.0,0.535,0.876,True,2005
Fame And Fortune,Fame and Fortune - Remastered,Elvis Presley With The Jordanaires,"Elvis' Golden Records, Vol. 3",N,3KIlJMknWs4rgVztAoWUbY,1963-08-11,17.0,1960-04-06,1960,1960-1964,10.0,40.0,102.743,150.48,10.0,1.0,0.672,0.286,-14.71,0.0283,0.94,0.0973,0.118,0.556,True,1963
Fancy Nancy,Fancy Nancy,Skip And Flip,Rock and Roll For Kids,N,7zxUztWR8zUqRQMo2BH8H1,2014-11-18,71.0,1959-10-28,1959,1955-1959,5.0,0.0,141.821,118.973,7.0,1.0,0.485,0.709,-10.439,0.0324,0.689,7e-06,0.34,0.976,True,2014
Fannie Mae,Fannie Mae,Buster Brown,The Best of Buster Brown,N,6pl9lXW9WCDDCVMrLlKGpD,1961-05-21,38.0,1960-01-27,1960,1960-1964,17.0,28.0,119.871,178.097,5.0,1.0,0.659,0.427,-9.793,0.0283,0.753,0.00571,0.219,0.862,True,1961
"Far, Far Away","Far, Far Away",Don Gibson,Sweet Dreams,N,0pLwUS6iXPYJWaz0CWBIc4,1960-12-16,72.0,1960-07-27,1960,1960-1964,5.0,15.0,100.1,128.96,0.0,1.0,0.661,0.489,-12.975,0.03,0.6,0.00185,0.0478,0.558,True,1960
Feel So Fine,Feel so Fine,Johnny Preston,ROCK,N,74vJVhDTZnhSHv1ingrM32,1960-12-03,14.0,1960-06-15,1960,1960-1964,14.0,13.0,169.569,126.96,7.0,1.0,0.636,0.723,-8.32,0.0385,0.803,0.000261,0.169,0.93,True,1960
